TIMESTAMP,RECORD,BGTemp_C_Avg,AirTC_Avg,RH_Avg,P_Air_Avg,cal_NetRad_Pyrano_Up_Avg,mean_wind_speed,mean_wind_direction,std_wind_dir,wind_speed_Max,esat_kPa,ea_kPa,dewpoint_C,wet_bulb_C,WBGT_C
2025-01-01 00:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-01-01 00:30:00,5167.0,-12.23994,-11.53212,53.4878,1017.175,0.453426,2.498485,2.707321,25.06727,3.65,0.2534994793856264,0.13559129453482507,-19.097194521411325,-13.663131889072837,-13.165392322350986
2025-01-01 01:00:00,5168.0,-10.82973,-9.783183,44.93132,1017.578,0.8083406,1.924222,286.4005,86.80077,4.09,0.29129301625457743,0.1308817972709962,-19.50955793927712,-12.538231490927176,-11.921026343649022
2025-01-01 01:30:00,5169.0,-11.26831,-10.98271,51.67146,1017.892,-1.664824,7.543001,46.64109,73.69342,17.98,0.26487127632831237,0.1368628555994734,-18.988056021907827,-13.248067513978812,-12.625580259785169
2025-01-01 02:00:00,5170.0,-12.03602,-11.90056,51.92909,1018.306,-1.601211,11.17033,57.11254,7.557524,14.93,0.2461192845683292,0.1278075047908438,-19.78596943217628,-14.091902586699199,-13.46159181068944
2025-01-01 02:30:00,5171.0,-12.51921,-12.3068,49.38656,1018.737,-1.547506,11.09533,53.26118,10.88987,17.26,0.2382044909322669,0.11764100383695857,-20.744508861249287,-14.613141589010633,-13.963721112307443
2025-01-01 03:00:00,5172.0,-13.47417,-13.28189,53.64996,1019.367,-2.151297,11.15411,58.29533,9.636797,16.76,0.2201252307307529,0.11809709823695665,-20.699944785623252,-15.296533710508449,-14.730596597355914
2025-01-01 03:30:00,5173.0,-14.50143,-14.21965,55.63596,1019.86,-2.410637,11.68766,61.94479,10.52413,18.18,0.20390318890472298,0.11344349661775611,-21.1620694131223,-16.08111737379246,-15.57903316165472
2025-01-01 04:00:00,5174.0,-15.73207,-15.27114,56.89562,1020.779,-2.50229,10.047,66.00317,27.13113,17.02,0.18698953908083857,0.1063888575951854,-21.89610283362648,-17.017042130759584,-16.58545749153171
2025-01-01 04:30:00,5175.0,-15.53842,-14.83949,52.28818,1021.449,-2.555522,5.517889,72.68711,57.90897,14.36,0.19377499309126653,0.101321417182549,-22.450801543273247,-16.8348158857498,-16.37600412002486
2025-01-01 05:00:00,5176.0,-17.26533,-16.75272,57.98602,1021.795,-3.784062,4.234777,242.8005,16.78132,6.45,0.1652830382342831,0.09584105560713904,-23.079430956954123,-18.378771734992036,-17.993478214494424
